Year,Week,Date & Time,Date,Favorite,Spread,Underdog,Total,Money Odds,home,away
2016,1,9/11 1:00 ET,9/11/2016,GB,-3.50,JAX,47.5,-$180 +$160,JAX,GB
2016,1,9/11 4:05 ET,9/11/2016,SEA,-10.50,MIA,44,-$575 +$450,SEA,MIA
2016,1,9/11 4:25 ET,9/11/2016,NYG,-1.00,DAL,47.5,-$115  -$105,DAL,NYG
2016,1,9/11 4:25 ET,9/11/2016,IND,-2.50,DET,51.5,-$145 +$125,IND,DET
2016,1,9/11 8:30 ET,9/11/2016,ARI,-8.50,NE,44,-$400 +$330,ARI,NE
2016,1,9/12 7:10 ET,9/12/2016,PIT,-2.50,WAS,49,-$140 +$120,WAS,PIT
2016,1,9/12 10:20 ET,9/12/2016,LA,-2.50,SF,43.5,-$145 +$125,SF,LA
2016,3,9/26 8:30 ET,9/26/2016,NO,-3.00,ATL,54.5,-$155 +$135,NO,ATL
2016,4,10/3 8:30 ET,10/3/2016,MIN,-4.00,NYG,42.5,-$185 +$165,MIN,NYG
2016,5,10/10 8:30 ET,10/10/2016,CAR,-6.00,TB,47,-$260 +$220,CAR,TB
2016,6,10/17 8:30 ET,10/17/2016,ARI,-7.00,NYJ,46,-$350 +$290,ARI,NYJ
2016,7,10/24 8:30 ET,10/24/2016,DEN,-8.50,HOU,40,-$420 +$350,DEN,HOU
2016,8,10/31 8:30 ET,10/31/2016,MIN,-5.50,CHI,39.5,-$250 +$210,CHI,MIN
2016,9,11/7 8:30 ET,11/7/2016,SEA,-6.00,BUF,43.5,-$250 +$210,SEA,BUF
2016,10,11/14 8:30 ET,11/14/2016,NYG,0.00,CIN,49.5,-$110  -$110,NYG,CIN
2016,11,11/21 8:30 ET,11/21/2016,OAK,-6.50,HOU,46,-$280 +$240,OAK,HOU
2016,12,11/28 8:30 ET,11/28/2016,PHI,-4.00,GB,47.5,-$195 +$170,PHI,GB
2016,13,12/5 8:30 ET,12/5/2016,NYJ,-1.00,IND,48.5,-$120 +$100,NYJ,IND
2016,14,12/12 8:30 ET,12/12/2016,NE,-6.00,BAL,45.5,-$260 +$220,NE,BAL
2016,15,12/19 8:30 ET,12/19/2016,WAS,-7.00,CAR,51,-$310 +$260,WAS,CAR
2016,16,12/26 8:30 ET,12/26/2016,DAL,-6.50,DET,46,-$270 +$230,DAL,DET
